category	subcategory	title
Category:Branches of biology	Category:Branches of botany	Agrostologist
Category:Branches of biology	Category:Branches of botany	Arborist
Category:Branches of biology	Category:Branches of botany	Dendrologist
Category:Branches of biology	Category:Branches of botany	Phycologist
Category:Branches of biology	Category:Branches of botany	Pteridologist
Category:Branches of biology	Category:Branches of botany	Plant physiology
Category:Branches of biology	Category:Branches of botany	Abscission
Category:Branches of biology	Category:Branches of botany	Absorption of water
Category:Branches of biology	Category:Branches of botany	Acid growth
Category:Branches of biology	Category:Branches of botany	Aerenchyma
Category:Branches of biology	Category:Branches of botany	Amyloplast
Category:Branches of biology	Category:Branches of botany	Anthesis
Category:Branches of biology	Category:Branches of botany	Antitranspirant
Category:Branches of biology	Category:Branches of botany	Apical dominance
Category:Branches of biology	Category:Branches of botany	Apoplast
Category:Branches of biology	Category:Branches of botany	Ascent of sap
Category:Branches of biology	Category:Branches of botany	Autumn leaf color
Category:Branches of biology	Category:Branches of botany	Auxesis (biology)
Category:Branches of biology	Category:Branches of botany	Auxin
Category:Branches of biology	Category:Branches of botany	Bark (botany)
Category:Branches of biology	Category:Branches of botany	Basics of blue flower colouration
Category:Branches of biology	Category:Branches of botany	Basics of white flower colouration
Category:Branches of biology	Category:Branches of botany	Beltian body
Category:Branches of biology	Category:Branches of botany	Biomass allocation
Category:Branches of biology	Category:Branches of botany	Biosequestration
Category:Branches of biology	Category:Branches of botany	Bletting
Category:Branches of biology	Category:Branches of botany	Bradyspory
Category:Branches of biology	Category:Branches of botany	Bud
Category:Branches of biology	Category:Branches of botany	Calcicole
Category:Branches of biology	Category:Branches of botany	Calcifuge
Category:Branches of biology	Category:Branches of botany	Canopy conductance
Category:Branches of biology	Category:Branches of botany	Casparian strip
Category:Branches of biology	Category:Branches of botany	Cell wall
Category:Branches of biology	Category:Branches of botany	Cellular respiration
Category:Branches of biology	Category:Branches of botany	Cladoptosis
Category:Branches of biology	Category:Branches of botany	Climacteric (botany)
Category:Branches of biology	Category:Branches of botany	Cold hardening
Category:Branches of biology	Category:Branches of botany	Compartmentalization of decay in trees
Category:Branches of biology	Category:Branches of botany	Compensatory conductance
Category:Branches of biology	Category:Branches of botany	Copigmentation
Category:Branches of biology	Category:Branches of botany	Cortex (botany)
Category:Branches of biology	Category:Branches of botany	Crop coefficient
Category:Branches of biology	Category:Branches of botany	Crown sprouting
Category:Branches of biology	Category:Branches of botany	Cutan (polymer)
Category:Branches of biology	Category:Branches of botany	Cutin
Category:Branches of biology	Category:Branches of botany	Cytorrhysis
Category:Branches of biology	Category:Branches of botany	Dehiscence (botany)
Category:Branches of biology	Category:Branches of botany	Destarch
Category:Branches of biology	Category:Branches of botany	Dormancy
Category:Branches of biology	Category:Branches of botany	DORN1
Category:Branches of biology	Category:Branches of botany	Drought deciduous
Category:Branches of biology	Category:Branches of botany	Drought tolerance
Category:Branches of biology	Category:Branches of botany	Druse (botany)
Category:Branches of biology	Category:Branches of botany	Ecophysiology
Category:Branches of biology	Category:Branches of botany	Elicitor
Category:Branches of biology	Category:Branches of botany	Endosperm
Category:Branches of biology	Category:Branches of botany	Epicuticular wax
Category:Branches of biology	Category:Branches of botany	Etiolation
Category:Branches of biology	Category:Branches of botany	Etioplast
Category:Branches of biology	Category:Branches of botany	Exfoliation (botany)
Category:Branches of biology	Category:Branches of botany	Flower differentiation
Category:Branches of biology	Category:Branches of botany	Flower induction
Category:Branches of biology	Category:Branches of botany	Flowering Locus C
Category:Branches of biology	Category:Branches of botany	Freezing tolerance
Category:Branches of biology	Category:Branches of botany	Frost crack
Category:Branches of biology	Category:Branches of botany	Frost flower
Category:Branches of biology	Category:Branches of botany	Fusicoccin
Category:Branches of biology	Category:Branches of botany	Germination
Category:Branches of biology	Category:Branches of botany	Glucosinolate
Category:Branches of biology	Category:Branches of botany	Gum (botany)
Category:Branches of biology	Category:Branches of botany	Guttation
Category:Branches of biology	Category:Branches of botany	Hair ice
Category:Branches of biology	Category:Branches of botany	Hairy root culture
Category:Branches of biology	Category:Branches of botany	Homoiohydry
Category:Branches of biology	Category:Branches of botany	Hydraulic redistribution
Category:Branches of biology	Category:Branches of botany	Hydraulic signaling in plants
Category:Branches of biology	Category:Branches of botany	Hydroid (botany)
Category:Branches of biology	Category:Branches of botany	Hygrochasy
Category:Branches of biology	Category:Branches of botany	Hyperhydricity
Category:Branches of biology	Category:Branches of botany	Hypersensitive response
Category:Branches of biology	Category:Branches of botany	Hyponastic response
Category:Branches of biology	Category:Branches of botany	Idioblast
Category:Branches of biology	Category:Branches of botany	Indole-3-acetic acid
Category:Branches of biology	Category:Branches of botany	Inosculation
Category:Branches of biology	Category:Branches of botany	Leaf
Category:Branches of biology	Category:Branches of botany	Leaf expansion
Category:Branches of biology	Category:Branches of botany	Leaf gap
Category:Branches of biology	Category:Branches of botany	Leaf sensor
Category:Branches of biology	Category:Branches of botany	Leptoid
Category:Branches of biology	Category:Branches of botany	Leucoplast
Category:Branches of biology	Category:Branches of botany	Light-harvesting complexes of green plants
Category:Branches of biology	Category:Branches of botany	Light-oxygen-voltage-sensing domain
Category:Branches of biology	Category:Branches of botany	Lysimeter
Category:Branches of biology	Category:Branches of botany	Magnesium in biology
Category:Branches of biology	Category:Branches of botany	Maintenance respiration
Category:Branches of biology	Category:Branches of botany	Marcescence
Category:Branches of biology	Category:Branches of botany	Mechanoreceptors (in plants)
Category:Branches of biology	Category:Branches of botany	Meristem
Category:Branches of biology	Category:Branches of botany	Microphylls and megaphylls
Category:Branches of biology	Category:Branches of botany	Mineral absorption
Category:Branches of biology	Category:Branches of botany	Moisture stress
Category:Branches of biology	Category:Branches of botany	Myrmecotrophy
Category:Branches of biology	Category:Branches of botany	Nectar
Category:Branches of biology	Category:Branches of botany	Nitrogen assimilation
Category:Branches of biology	Category:Branches of botany	Nitrogen fixation
Category:Branches of biology	Category:Branches of botany	Nod factor
Category:Branches of biology	Category:Branches of botany	Nucleomorph
Category:Branches of biology	Category:Branches of botany	Nyctinasty
Category:Branches of biology	Category:Branches of botany	Ombrophobe
Category:Branches of biology	Category:Branches of botany	Omega hydroxy acid
Category:Branches of biology	Category:Branches of botany	Parasitic plant
Category:Branches of biology	Category:Branches of botany	Pearl body
Category:Branches of biology	Category:Branches of botany	Phloem
Category:Branches of biology	Category:Branches of botany	Phloem loading
Category:Branches of biology	Category:Branches of botany	Photoperiodism
Category:Branches of biology	Category:Branches of botany	Photorespiration
Category:Branches of biology	Category:Branches of botany	Photosynthesis
Category:Branches of biology	Category:Branches of botany	Photosynthesis system
Category:Branches of biology	Category:Branches of botany	Photosynthetic capacity
Category:Branches of biology	Category:Branches of botany	Phototropin
Category:Branches of biology	Category:Branches of botany	Phytochrome
Category:Branches of biology	Category:Branches of botany	Phytofluene
Category:Branches of biology	Category:Branches of botany	Phytolith
Category:Branches of biology	Category:Branches of botany	Pit (botany)
Category:Branches of biology	Category:Branches of botany	Pith
Category:Branches of biology	Category:Branches of botany	Plant bioacoustics
Category:Branches of biology	Category:Branches of botany	Wound response in plants
Category:Branches of biology	Category:Branches of botany	Plant communication
Category:Branches of biology	Category:Branches of botany	Plant cuticle
Category:Branches of biology	Category:Branches of botany	Plant defense against herbivory
Category:Branches of biology	Category:Branches of botany	Plant growth analysis
Category:Branches of biology	Category:Branches of botany	Plant nucleus movement
Category:Branches of biology	Category:Branches of botany	Plant perception (physiology)
Category:Branches of biology	Category:Branches of botany	Plant Proteome Database
Category:Branches of biology	Category:Branches of botany	Plant root exudates
Category:Branches of biology	Category:Branches of botany	Plant secondary metabolism
Category:Branches of biology	Category:Branches of botany	Plant secretory tissue
Category:Branches of biology	Category:Branches of botany	Plant senescence
Category:Branches of biology	Category:Branches of botany	Plant stem cell
Category:Branches of biology	Category:Branches of botany	Plant stress measurement
Category:Branches of biology	Category:Branches of botany	Plant use of endophytic fungi in defense
Category:Branches of biology	Category:Branches of botany	Plant-induced systemic resistance
Category:Branches of biology	Category:Branches of botany	Plasmolysis
Category:Branches of biology	Category:Branches of botany	Plastid
Category:Branches of biology	Category:Branches of botany	Poikilohydry
Category:Branches of biology	Category:Branches of botany	Pollen tube
Category:Branches of biology	Category:Branches of botany	Potometer
Category:Branches of biology	Category:Branches of botany	Pressure flow hypothesis
Category:Branches of biology	Category:Branches of botany	Prolonged sine
Category:Branches of biology	Category:Branches of botany	Proteinase inhibitors in plants
Category:Branches of biology	Category:Branches of botany	Protochlorophyllide
Category:Branches of biology	Category:Branches of botany	Protoplast
Category:Branches of biology	Category:Branches of botany	Pseudo-response regulator
Category:Branches of biology	Category:Branches of botany	Pyrogenic flowering
Category:Branches of biology	Category:Branches of botany	Pyrophyte
Category:Branches of biology	Category:Branches of botany	Ramification (botany)
Category:Branches of biology	Category:Branches of botany	Raphide
Category:Branches of biology	Category:Branches of botany	Rapid plant movement
Category:Branches of biology	Category:Branches of botany	Relative growth rate
Category:Branches of biology	Category:Branches of botany	Resin canal
Category:Branches of biology	Category:Branches of botany	Resprouter
Category:Branches of biology	Category:Branches of botany	Resurrection plant
Category:Branches of biology	Category:Branches of botany	Rhizome
Category:Branches of biology	Category:Branches of botany	Root pressure
Category:Branches of biology	Category:Branches of botany	Russeting
Category:Branches of biology	Category:Branches of botany	Sap
Category:Branches of biology	Category:Branches of botany	Scholander pressure bomb
Category:Branches of biology	Category:Branches of botany	Secondary growth
Category:Branches of biology	Category:Branches of botany	William Seifriz
Category:Branches of biology	Category:Branches of botany	Serotiny
Category:Branches of biology	Category:Branches of botany	Shade avoidance
Category:Branches of biology	Category:Branches of botany	Shade tolerance
Category:Branches of biology	Category:Branches of botany	Sieve tube element
Category:Branches of biology	Category:Branches of botany	Small molecule
Category:Branches of biology	Category:Branches of botany	Soil plant atmosphere continuum
Category:Branches of biology	Category:Branches of botany	Steel trap (carnivorous plants)
Category:Branches of biology	Category:Branches of botany	Stoma
Category:Branches of biology	Category:Branches of botany	Stomatal conductance
Category:Branches of biology	Category:Branches of botany	Stromule
Category:Branches of biology	Category:Branches of botany	Suberin
Category:Branches of biology	Category:Branches of botany	Sulfur assimilation
Category:Branches of biology	Category:Branches of botany	Systemic acquired resistance
Category:Branches of biology	Category:Branches of botany	Tachyspory
Category:Branches of biology	Category:Branches of botany	Tannosome
Category:Branches of biology	Category:Branches of botany	Theca
