source	target
Aristotle	Theophrastus
Aristotle	Charles Darwin
Aristotle	Theophrastus
Aristotle	Theophrastus
Aristotle	William Harvey
Anatomy	Charles Darwin
Anatomy	Basal (phylogenetics)
Anatomy	Marcello Malpighi
Anatomy	Aristotle
Anatomy	Leonardo da Vinci
Albert Einstein	Introduction to quantum mechanics
Albert Einstein	Henri Poincaré
Albert Einstein	General relativity
Albert Einstein	General relativity
Albert Einstein	Erwin Schrödinger
Albert Einstein	Torsion tensor
Albert Einstein	Compton scattering
Albert Einstein	Bell's theorem
Albert Einstein	Sticky bead argument
Algorithm	Turing machine
Algorithm	Turing machine
Algorithm	Turing machine
Algorithm	Turing machine
Axiom	Aristotle
Axiom	Henri Poincaré
Absolute value	Norm (mathematics)
Absolute value	Argument (complex analysis)
Absolute value	Argument (complex analysis)
Analysis	Aristotle
Augustin-Jean Fresnel	Dioptrics
Augustin-Jean Fresnel	Christiaan Huygens
Augustin-Jean Fresnel	Christiaan Huygens
Augustin-Jean Fresnel	Treatise on Light
Augustin-Jean Fresnel	Augustin-Louis Cauchy
Augustin-Jean Fresnel	Augustin-Louis Cauchy
Augustin-Jean Fresnel	Annulus (mathematics)
Augustin-Jean Fresnel	Christiaan Huygens
Artificial intelligence	Roger Penrose
Atomic orbital	Quantum superposition
Atomic orbital	Slater determinant
Atomic orbital	Erwin Schrödinger
Atomic orbital	Richard Feynman
Anisotropy	Crystal optics
Anisotropy	Circular symmetry
Antimatter	Bevatron
Associative property	N-ary associativity
Adiabatic process	Isenthalpic process
Alfred Russel Wallace	Charles Darwin
Adenosine triphosphate	ATP synthase
Adenosine triphosphate	ATP synthase
Adenosine triphosphate	RNA polymerase
Adenosine triphosphate	X-ray crystallography
Adenosine triphosphate	Phosphagen
Augustin-Louis Cauchy	Lazare Carnot
Augustin-Louis Cauchy	Augustin-Jean Fresnel
Augustin-Louis Cauchy	Cauchy horizon
Agarose gel electrophoresis	Gel electrophoresis
Agarose gel electrophoresis	Immunoelectrophoresis
Autosome	Karyotype
Abbe number	Sellmeier equation
Apoptosis	Vesicle (biology and chemistry)
Apoptosis	The Proteolysis Map
Apoptosis	The Proteolysis Map
Apoptosis	The Proteolysis Map
Automated theorem proving	Begriffsschrift
Automated theorem proving	Resolution (logic)
Automated theorem proving	Twelf
Astrobiology	Protocell
Astrobiology	Communication with extraterrestrial intelligence
Anthropic principle	Fine-tuned universe
Anthropic principle	John D. Barrow
Anthropic principle	Fine-tuned universe
Anthropic principle	Roger Penrose
Anthropic principle	John D. Barrow
Anthropic principle	Alfred Russel Wallace
Anthropic principle	John D. Barrow
Anthropic principle	Fine-tuned universe
Anthropic principle	John D. Barrow
Anthropic principle	John D. Barrow
Atomic theory	Aristotle
